District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
4.0,3868,3,6998600.0,75.8,42.9,10.6,24.3050629802,20,0.0,0.0,0.0,1.0,16,17,0.0
4.0,3869,3,6998800.0,78.8,44,12.9,24.4928508584,nan,nan,0.0,0.0,1.0,4,17,1.0
4.0,3870,2,7000000.0,44.0,28,6,11.4638939508,20,1.0,0.0,0.0,0.0,9,9,0.0
4.0,3871,2,7000000.0,44.0,18,15,10.6060291182,nan,nan,1.0,1.0,1.0,4,9,0.0
4.0,3872,2,7000000.0,52.0,32,9,13.521748804,25,1.0,0.0,1.0,1.0,2,12,0.0
4.0,3873,2,7000000.0,52.0,31,10,23.3127947487,nan,nan,0.0,0.0,1.0,5,17,0.0
4.0,3874,1,7000000.0,32.4,21.4,5.3,5.24901113914,13,1.0,1.0,1.0,1.0,6,9,0.0
4.0,3875,2,7000000.0,38.6,27.7,8,10.9522766449,8,1.0,1.0,0.0,0.0,2,9,0.0
4.0,3876,2,7000000.0,52.0,31,9.8,23.1786828481,15,0.0,0.0,0.0,1.0,4,17,0.0
4.0,3877,2,7000000.0,48.0,26,8,13.9259662016,24,1.0,1.0,1.0,1.0,9,14,0.0
4.0,3878,3,7000000.0,56.1,41,6,13.5643295471,12,1.0,0.0,0.0,0.0,1,5,0.0
4.0,3879,2,7000000.0,52.0,30.5,10,23.2214376175,10,0.0,0.0,1.0,0.0,17,17,0.0
4.0,3880,1,7051828.0,41.4,18,9.8,9.77136639478,10,0.0,1.0,0.0,1.0,22,25,1.0
4.0,3881,1,7062233.0,39.7,18.6,10.9,9.68691683642,10,0.0,1.0,0.0,1.0,2,9,1.0
4.0,3882,3,7074950.0,77.9,43.4,13.9,24.1472647916,nan,nan,0.0,0.0,1.0,12,25,0.0
4.0,3883,1,7100000.0,40.0,18.9,10.3,15.2031104606,6,1.0,0.0,0.0,1.0,24,24,0.0
4.0,3884,3,7100000.0,79.1,44,14,24.2023967969,10,0.0,0.0,0.0,1.0,5,25,1.0
4.0,3885,1,7100000.0,37.0,20,9.2,14.4319866336,8,1.0,0.0,0.0,1.0,6,12,0.0
4.0,3886,2,7100000.0,65.0,32,13,23.2646276124,15,0.0,0.0,0.0,1.0,4,17,0.0
4.0,3887,2,7100000.0,53.0,30,8,13.3139440224,20,0.0,0.0,1.0,1.0,5,14,0.0
4.0,3888,3,7100000.0,60.0,44.1,6,16.4091716109,15,1.0,0.0,1.0,1.0,5,9,0.0
4.0,3889,3,7100000.0,56.0,42,6,12.782501573,14,1.0,0.0,1.0,1.0,9,9,0.0
4.0,3890,3,7120200.0,78.4,44.8,10.6,24.3050629802,nan,nan,0.0,0.0,1.0,2,17,0.0
4.0,3891,3,7128000.0,79.2,44.8,12.9,24.4300054631,20,0.0,0.0,0.0,1.0,4,17,1.0
4.0,3892,2,13900000.0,60.0,34,9,5.77778429782,5,1.0,0.0,1.0,1.0,5,7,0.0
4.0,3893,2,6881600.0,50.6,23,11,10.1984929331,33,0.0,0.0,0.0,1.0,2,17,1.0
4.0,3894,3,5490000.0,59.8,43.1,6,11.176264901,9,1.0,0.0,1.0,1.0,2,9,0.0
4.0,3895,3,7130000.0,81.0,48,14,24.41259141,8,0.0,0.0,0.0,1.0,11,25,1.0
4.0,3896,3,7140400.0,80.4,44.8,12.9,24.4839723716,nan,nan,0.0,0.0,1.0,12,17,1.0
4.0,3897,3,7145800.0,77.4,nan,nan,24.065930282,11,0.0,0.0,0.0,1.0,13,17,1.0
4.0,3898,3,7150000.0,82.0,53,10.5,23.4668471161,nan,nan,1.0,0.0,1.0,17,17,0.0
4.0,3899,1,7150000.0,41.3,21,8.3,14.3885580918,3,1.0,0.0,1.0,1.0,10,14,0.0
4.0,3900,3,7150000.0,58.6,40.5,6,16.4302901287,nan,nan,0.0,1.0,1.0,2,9,0.0
4.0,3901,1,7150000.0,39.9,20,8.5,13.9579836718,4,1.0,0.0,1.0,1.0,9,14,0.0
4.0,3902,3,7158100.0,80.6,44.8,13.9,24.2269581368,nan,nan,0.0,0.0,1.0,18,25,1.0
4.0,3903,1,7160575.0,44.6,23,11,9.72540033448,9,0.0,1.0,0.0,1.0,23,25,1.0
4.0,3904,3,7166800.0,77.9,43.4,13.9,24.1472647916,nan,nan,0.0,0.0,1.0,12,25,0.0
4.0,3905,3,7183550.0,79.1,43.4,13.9,24.2082706573,nan,nan,0.0,0.0,1.0,2,25,0.0
